Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
126,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.019 ,"Staphylococcal arthritis, unspecified shoulder "
127,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.021 ,"Staphylococcal arthritis, right elbow "
128,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.022 ,"Staphylococcal arthritis, left elbow "
129,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.029 ,"Staphylococcal arthritis, unspecified elbow "
130,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.031 ,"Staphylococcal arthritis, right wrist "
131,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.032 ,"Staphylococcal arthritis, left wrist "
132,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.039 ,"Staphylococcal arthritis, unspecified wrist "
133,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.041 ,"Staphylococcal arthritis, right hand "
134,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.042 ,"Staphylococcal arthritis, left hand "
135,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.049 ,"Staphylococcal arthritis, unspecified hand "
136,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.051 ,"Staphylococcal arthritis, right hip "
137,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.052 ,"Staphylococcal arthritis, left hip "
138,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.059 ,"Staphylococcal arthritis, unspecified hip "
139,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.061 ,"Staphylococcal arthritis, right knee "
140,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.062 ,"Staphylococcal arthritis, left knee "
141,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,M00.069 ,"Staphylococcal arthritis, unspecified knee "
